index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
90,DSB Iba1 31_40X_DG,1.7272727272727273,2.111111111111111,1.9288888888888889,2.237113402061856,9,2,11,225,2.163314819335937,3.90176773071289,DG,31,2042,male,APP/PS1,good,optimal,optimal,True
91,DSB Iba1 32_40X_CA1,3.259259259259259,3.259259259259259,4.875862068965517,5.01418439716312,27,0,27,145,24.217510223388672,14.134979248046877,CA1,32,253,female,APP/PS1 x Neil3 KO,poor,optimal,suboptimal,False
92,DSB Iba1 32_40X_CA3,1.8571428571428568,1.95,4.089285714285714,4.089285714285714,20,1,21,112,35.25991439819336,14.082717895507812,CA3,32,253,female,APP/PS1 x Neil3 KO,poor,optimal,suboptimal,False
93,DSB Iba1 32_40X_CTX1,3.1875,3.3260869565217392,4.640316205533597,4.753036437246964,46,2,48,253,26.068115234375,14.151763916015623,CTX1,32,253,female,APP/PS1 x Neil3 KO,poor,optimal,suboptimal,False
94,DSB Iba1 32_40X_CTX2,1.6388888888888888,1.710144927536232,2.747663551401869,2.76056338028169,69,3,72,214,45.59593200683594,17.71411895751953,CTX2,32,253,female,APP/PS1 x Neil3 KO,poor,suboptimal,suboptimal,False
95,DSB Iba1 32_40X_CTX3,2.477272727272727,2.725,4.610169491525424,4.945454545454545,40,4,44,177,16.32986068725586,10.771465301513672,CTX3,32,253,female,APP/PS1 x Neil3 KO,poor,optimal,suboptimal,False
96,DSB Iba1 32_40X_DG,2.290909090909091,2.423076923076923,3.754807692307693,4.046632124352332,52,3,55,208,20.56293487548828,27.629661560058597,DG,32,253,female,APP/PS1 x Neil3 KO,poor,suboptimal,suboptimal,False
97,DSB Iba1 33_40X_CA1,0.8,1.3333333333333333,0.8928571428571429,1.3333333333333333,3,2,5,112,0.8049964904785156,2.395153045654297,CA1,33,1996,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
98,DSB Iba1 33_40X_CA3,0.8571428571428571,1.5,1.0239520958083832,1.425,4,3,7,167,1.3813972473144531,1.8873214721679688,CA3,33,1996,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
99,DSB Iba1 33_40X_CTX1,0.7777777777777778,1.75,0.7230769230769231,1.2818181818181815,4,5,9,195,1.5479087829589844,1.194000244140625,CTX1,33,1996,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
100,DSB Iba1 33_40X_CTX2,1.3076923076923077,1.7,1.3617021276595744,2.0,10,3,13,188,1.5409469604492188,2.6653289794921875,CTX2,33,1996,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
101,DSB Iba1 33_40X_CTX3,0.875,1.4,0.908450704225352,1.5925925925925926,5,3,8,142,0.8223533630371094,2.5826454162597656,CTX3,33,1996,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
102,DSB Iba1 33_40X_DG,1.75,2.8,1.8395522388059704,2.0889830508474576,5,3,8,268,3.18288803100586,3.2654762268066406,DG,33,1996,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
103,DSB Iba1 34_40X_CA1,2.75,2.75,4.4338235294117645,4.603053435114504,16,0,16,136,11.618709564208984,5.395984649658203,CA1,34,885,male,APP/PS1,poor,optimal,optimal,False
104,DSB Iba1 34_40X_CA3,3.4,3.4,4.725663716814159,4.944444444444445,5,0,5,226,18.45865249633789,4.882526397705078,CA3,34,885,male,APP/PS1,poor,optimal,suboptimal,False
105,DSB Iba1 34_40X_CTX1,2.4,3.0,3.471042471042471,4.031390134529148,28,7,35,259,9.898662567138672,6.429195404052734,CTX1,34,885,male,APP/PS1,poor,optimal,optimal,False
106,DSB Iba1 34_40X_CTX2,2.75,3.055555555555556,3.6108597285067874,3.7289719626168223,36,4,40,221,30.911731719970703,9.55486297607422,CTX2,34,885,male,APP/PS1,poor,optimal,suboptimal,False
107,DSB Iba1 34_40X_CTX3,2.096774193548387,2.321428571428572,2.4946236559139785,2.6820809248554918,28,3,31,186,8.549880981445312,7.129859924316406,CTX3,34,885,male,APP/PS1,poor,optimal,optimal,False
108,DSB Iba1 34_40X_DG,2.4285714285714284,2.5185185185185186,4.443786982248521,4.635802469135802,27,1,28,169,13.27676773071289,9.005355834960938,DG,34,885,male,APP/PS1,poor,optimal,optimal,False
109,DSB Iba1 35_40X_CA1,1.1111111111111112,2.5,0.4772727272727273,1.4,4,5,9,132,0.7157325744628906,3.268909454345703,CA1,35,305,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
110,DSB Iba1 35_40X_CA3,1.8333333333333333,2.129032258064516,3.238095238095238,3.71875,31,5,36,147,13.22774887084961,21.71812057495117,CA3,35,305,male,APP/PS1 x Neil3 KO,poor,suboptimal,optimal,False
111,DSB Iba1 35_40X_CTX1,1.1111111111111112,2.2222222222222223,0.7389162561576355,1.7045454545454546,9,9,18,203,0.7575035095214844,4.521656036376953,CTX1,35,305,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
112,DSB Iba1 35_40X_CTX2,1.779527559055118,1.83739837398374,2.534188034188034,2.671171171171171,123,4,127,234,23.38438034057617,49.62272644042969,CTX2,35,305,male,APP/PS1 x Neil3 KO,poor,suboptimal,suboptimal,False
113,DSB Iba1 35_40X_CTX3,2.075949367088608,2.1866666666666665,3.3229813664596275,3.5906040268456376,75,4,79,161,13.570690155029297,36.1638069152832,CTX3,35,305,male,APP/PS1 x Neil3 KO,poor,suboptimal,optimal,False
114,DSB Iba1 35_40X_DG,2.01123595505618,2.156626506024097,3.114406779661017,3.340909090909091,83,6,89,236,13.68703842163086,46.29859924316406,DG,35,305,male,APP/PS1 x Neil3 KO,poor,suboptimal,optimal,False
115,DSB Iba1 36_40X_CA1,0.9285714285714286,1.3,1.1729323308270676,1.56,10,4,14,133,1.4990806579589844,2.2858619689941406,CA1,36,2012,male,APP/PS1,good,optimal,optimal,True
116,DSB Iba1 36_40X_CA3,0.5,2.0,0.9607843137254902,1.380281690140845,1,3,4,102,1.174163818359375,1.1386871337890625,CA3,36,2012,male,APP/PS1,good,optimal,optimal,True
