index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
88,DSB Iba1 31_40X_CTX2,0.4666666666666667,1.1666666666666667,0.4384615384615384,1.1515151515151516,6,9,15,260,0.2105712890625,3.2672882080078125,CTX2,31,2042,male,APP/PS1,good,passed,optimal,optimal,True
89,DSB Iba1 31_40X_CTX3,0.75,1.2857142857142858,0.625,1.2804878048780488,7,5,12,168,0.3072738647460937,3.661823272705078,CTX3,31,2042,male,APP/PS1,good,passed,optimal,optimal,True
90,DSB Iba1 31_40X_DG,1.2307692307692308,2.2857142857142856,1.1833333333333331,1.6608187134502923,7,6,13,240,0.8093833923339844,4.28314208984375,DG,31,2042,male,APP/PS1,good,passed,optimal,optimal,True
91,DSB Iba1 32_40X_CA1,0.2352941176470588,1.3333333333333333,0.6303030303030303,1.3866666666666667,3,14,17,165,0.3122329711914062,9.825515747070312,CA1,32,253,female,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,True
92,DSB Iba1 32_40X_CA3,0.7222222222222222,1.4444444444444444,1.1696428571428572,1.8450704225352117,9,9,18,112,0.6804466247558594,10.944938659667969,CA3,32,253,female,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,True
93,DSB Iba1 32_40X_CTX1,0.5681818181818182,1.3157894736842106,0.5758620689655173,1.3046875,19,25,44,290,0.3292083740234375,12.374496459960938,CTX1,32,253,female,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,True
94,DSB Iba1 32_40X_CTX2,0.8260869565217391,1.4615384615384617,0.7142857142857143,1.4516129032258065,26,20,46,251,0.4338264465332031,13.553619384765623,CTX2,32,253,female,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,True
95,DSB Iba1 32_40X_CTX3,0.825,1.375,0.8505154639175257,1.6176470588235294,24,16,40,194,0.357818603515625,10.145378112792969,CTX3,32,253,female,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,True
96,DSB Iba1 32_40X_DG,0.7241379310344828,1.4,0.4935622317596566,1.4556962025316456,15,14,29,233,0.4597663879394531,13.315582275390623,DG,32,253,female,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,True
97,DSB Iba1 33_40X_CA1,0.8333333333333334,1.6666666666666667,0.6308724832214765,1.205128205128205,3,3,6,149,0.3518104553222656,3.0832290649414062,CA1,33,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
98,DSB Iba1 33_40X_CA3,0.5833333333333334,1.4,0.8263157894736842,1.3418803418803418,5,7,12,189,0.6498336791992188,2.378082275390625,CA3,33,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
99,DSB Iba1 33_40X_CTX1,0.6666666666666666,1.5,0.5458333333333333,1.15929203539823,4,5,9,239,0.5475997924804688,1.1921882629394531,CTX1,33,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
100,DSB Iba1 33_40X_CTX2,1.0769230769230769,1.5555555555555556,0.7534883720930232,1.361344537815126,9,4,13,215,0.5225181579589844,2.994537353515625,CTX2,33,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
101,DSB Iba1 33_40X_CTX3,0.5555555555555556,1.25,0.5595238095238095,1.205128205128205,4,5,9,168,0.3183364868164062,2.8720855712890625,CTX3,33,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
102,DSB Iba1 33_40X_DG,0.625,1.25,1.138047138047138,1.515695067264574,4,4,8,297,1.3701438903808594,3.733730316162109,DG,33,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
103,DSB Iba1 34_40X_CA1,0.875,1.75,0.9548872180451128,1.8405797101449275,4,4,8,133,0.7212638854980469,5.310535430908203,CA1,34,885,male,APP/PS1,poor,passed,optimal,optimal,True
104,DSB Iba1 34_40X_CA3,1.1666666666666667,1.1666666666666667,1.3929961089494165,1.967032967032967,6,0,6,257,1.6454696655273438,5.190944671630859,CA3,34,885,male,APP/PS1,poor,passed,optimal,optimal,True
105,DSB Iba1 34_40X_CTX1,1.0689655172413792,1.55,0.7763157894736842,1.396449704142012,20,9,29,304,0.8446693420410156,6.179237365722656,CTX1,34,885,male,APP/PS1,poor,passed,optimal,optimal,True
106,DSB Iba1 34_40X_CTX2,0.6756756756756757,1.4705882352941178,0.9310344827586208,1.5789473684210529,17,20,37,290,0.832366943359375,8.007335662841797,CTX2,34,885,male,APP/PS1,poor,passed,optimal,optimal,True
107,DSB Iba1 34_40X_CTX3,1.1923076923076923,1.4761904761904765,1.0611353711790392,1.5677419354838709,21,5,26,229,1.5863418579101562,7.276821136474609,CTX3,34,885,male,APP/PS1,poor,passed,optimal,optimal,True
108,DSB Iba1 34_40X_DG,0.75,1.25,1.3313253012048192,1.8416666666666663,12,8,20,166,1.4467239379882812,7.294082641601562,DG,34,885,male,APP/PS1,poor,passed,optimal,optimal,True
109,DSB Iba1 35_40X_CA1,0.0,,0.2099447513812154,1.1176470588235294,0,8,8,181,0.1296043395996093,3.382396697998047,CA1,35,305,male,APP/PS1 x Neil3 KO,poor,passed,optimal,optimal,True
110,DSB Iba1 35_40X_CA3,0.65,1.3,0.7231638418079096,1.4382022471910112,10,10,20,177,0.4532814025878906,9.04865264892578,CA3,35,305,male,APP/PS1 x Neil3 KO,poor,passed,optimal,optimal,True
111,DSB Iba1 35_40X_CTX1,0.4,1.0,0.2556390977443609,1.096774193548387,8,12,20,266,0.1482009887695312,4.342937469482422,CTX1,35,305,male,APP/PS1 x Neil3 KO,poor,passed,optimal,optimal,True
112,DSB Iba1 35_40X_CTX2,0.7659574468085106,1.7142857142857142,0.6167883211678832,1.4695652173913043,21,26,47,274,0.4270553588867187,11.87448501586914,CTX2,35,305,male,APP/PS1 x Neil3 KO,poor,passed,optimal,optimal,True
