filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells
DSB Iba1 108_40X_CTX2,1.1818181818181819,1.3,1.1487179487179486,1.763779527559055,10,127,1,11,195,1.9483566284179688,2.8214454650878906,0.9090909090909091,0.6512820512820513
DSB Iba1 108_40X_CTX3,1.5,1.9090909090909092,0.9709302325581395,1.518181818181818,11,110,3,14,172,1.239776611328125,2.0021438598632812,0.7857142857142857,0.6395348837209303
DSB Iba1 108_40X_DG,0.9,1.2857142857142858,1.2449438202247192,1.5261707988980717,7,363,3,10,443,4.4620513916015625,2.399921417236328,0.7,0.8194130925507901
DSB Iba1 20_40X_CA1,1.0,1.5,0.6645161290322581,1.3037974683544304,4,79,2,6,155,0.7762908935546875,1.447296142578125,0.6666666666666666,0.5096774193548387
DSB Iba1 20_40X_CA3,1.6,2.0,1.3245614035087718,2.1267605633802815,4,71,1,5,114,1.1053085327148438,1.7178535461425781,0.8,0.6228070175438597
DSB Iba1 20_40X_CTX1,1.0,1.6666666666666667,0.5151515151515151,1.2289156626506024,3,83,2,5,198,0.4868507385253906,0.8257865905761719,0.6,0.41919191919191917
DSB Iba1 20_40X_CTX2,1.5,1.8333333333333333,1.069182389937107,1.6037735849056605,18,106,4,22,159,0.9496688842773438,2.0682334899902344,0.8181818181818182,0.6666666666666666
DSB Iba1 20_40X_CTX3,0.6666666666666666,2.0,0.532608695652174,1.3611111111111112,1,36,2,3,92,0.5314826965332031,0.5598068237304688,0.3333333333333333,0.391304347826087
DSB Iba1 20_40X_DG,1.0,1.4,1.435483870967742,1.7682119205298013,5,302,2,7,372,2.3174285888671875,2.9237747192382812,0.7142857142857143,0.8118279569892473
DSB Iba1 21_40X_CA1,1.0,1.5714285714285714,0.851063829787234,1.3333333333333333,7,90,4,11,141,0.7778167724609375,2.5424957275390625,0.6363636363636364,0.6382978723404256
DSB Iba1 21_40X_CA3,0.5,1.0,1.0,1.7833333333333334,2,60,2,4,107,0.7436752319335938,1.3544082641601562,0.5,0.5607476635514018
DSB Iba1 21_40X_CTX1,1.588235294117647,2.076923076923077,0.695,1.3762376237623761,13,101,4,17,200,0.9168624877929688,3.311634063720703,0.7647058823529411,0.505
DSB Iba1 21_40X_CTX2,1.2666666666666666,1.4615384615384615,0.7688888888888888,1.3410852713178294,13,129,2,15,225,1.0347366333007812,3.338623046875,0.8666666666666667,0.5733333333333334
DSB Iba1 21_40X_CTX3,1.4782608695652173,2.0,1.0824742268041236,2.019230769230769,17,104,6,23,194,1.0148048400878906,4.6970367431640625,0.7391304347826086,0.5360824742268041
DSB Iba1 21_40X_DG,0.9333333333333333,1.4,1.1310679611650485,1.4793650793650794,10,315,5,15,409,2.2064208984375,3.5135269165039062,0.6666666666666666,0.7701711491442543
DSB Iba1 22_40X_CA1,1.0,1.9,1.206896551724138,1.9626168224299065,10,107,9,19,174,1.2415885925292969,6.178569793701172,0.5263157894736842,0.6149425287356322
DSB Iba1 22_40X_CA3,2.1666666666666665,2.1666666666666665,1.2302158273381294,2.25,6,76,0,6,139,1.2543678283691406,3.7606239318847656,1.0,0.5467625899280576
DSB Iba1 22_40X_CTX1,1.5,2.5,1.2880658436213992,2.045751633986928,6,153,4,10,243,1.403045654296875,3.6371231079101562,0.6,0.6296296296296297
DSB Iba1 22_40X_CTX2,1.0588235294117647,2.0,1.0454545454545454,2.0145985401459856,9,137,8,17,264,1.3582229614257812,4.0191650390625,0.5294117647058824,0.5189393939393939
DSB Iba1 22_40X_CTX3,1.25,2.0,0.39285714285714285,1.32,5,50,3,8,168,0.2514839172363281,0.730133056640625,0.625,0.2976190476190476
DSB Iba1 22_40X_DG,1.7647058823529411,2.0,1.6338383838383839,1.9313432835820896,15,335,2,17,395,3.1919479370117188,5.748558044433594,0.8823529411764706,0.8481012658227848
DSB Iba1 23_40X_CA1,1.0,2.6666666666666665,0.6617647058823529,1.3043478260869565,3,69,5,8,136,0.5928993225097656,4.248046875,0.375,0.5073529411764706
DSB Iba1 23_40X_CA3,0.875,1.75,0.6491228070175439,1.5416666666666667,4,48,4,8,114,0.531768798828125,2.0812034606933594,0.5,0.42105263157894735
DSB Iba1 23_40X_CTX1,0.56,1.2727272727272727,0.387434554973822,1.15625,11,64,14,25,191,0.4361152648925781,5.792427062988281,0.44,0.33507853403141363
DSB Iba1 23_40X_CTX2,0.0,,0.075,1.125,0,16,5,5,240,0.07200241088867188,0.7174491882324219,0.0,0.06666666666666667
DSB Iba1 23_40X_CTX3,0.9090909090909091,1.25,0.7905405405405406,1.4444444444444444,8,81,3,11,148,0.6974220275878906,2.988147735595703,0.7272727272727273,0.5472972972972973
DSB Iba1 23_40X_DG,1.0,1.4545454545454546,1.122969837587007,1.4622356495468278,11,331,5,16,429,1.8776893615722656,7.934856414794922,0.6875,0.7715617715617715
DSB Iba1 25_40X_CA1,1.375,1.8333333333333333,1.6158940397350994,2.259259259259259,6,108,2,8,151,1.3138771057128906,3.1706809997558594,0.75,0.7152317880794702
DSB Iba1 25_40X_CA3,1.2222222222222223,1.375,1.9197080291970803,3.058139534883721,8,86,1,9,137,2.0705223083496094,2.813243865966797,0.8888888888888888,0.6277372262773723
DSB Iba1 25_40X_CTX1,0.56,1.2727272727272727,0.6090225563909775,1.265625,11,64,14,25,133,0.565338134765625,3.438568115234375,0.44,0.48120300751879697
DSB Iba1 25_40X_CTX2,1.65,2.2,1.78125,2.7142857142857144,15,126,5,20,192,1.6091346740722656,6.374835968017578,0.75,0.65625
DSB Iba1 25_40X_CTX3,1.3333333333333333,1.7142857142857142,2.2216216216216216,2.8541666666666665,7,144,2,9,185,1.6841888427734375,2.7411460876464844,0.7777777777777778,0.7783783783783784
DSB Iba1 25_40X_DG,2.1333333333333333,2.4615384615384617,2.067469879518072,2.2698412698412698,13,378,2,15,415,4.139518737792969,3.3510208129882812,0.8666666666666667,0.9108433734939759
DSB Iba1 28_40X_CA1,0.0,,0.8023255813953488,1.2545454545454546,0,55,2,2,85,1.17950439453125,2.5665283203125,0.0,0.6470588235294118
DSB Iba1 28_40X_CA3,1.0,1.0,0.5223880597014925,1.3461538461538463,1,26,0,1,67,1.036834716796875,2.448272705078125,1.0,0.3880597014925373
DSB Iba1 28_40X_CTX1,1.0,1.5,0.6923076923076923,1.44,2,50,1,3,104,1.6277313232421875,3.2138824462890625,0.6666666666666666,0.4807692307692308
DSB Iba1 28_40X_CTX2,0.8461538461538461,1.5714285714285714,0.927536231884058,1.9393939393939394,7,99,6,13,207,0.6724357604980469,2.5005340576171875,0.5384615384615384,0.4782608695652174
DSB Iba1 28_40X_CTX3,1.0909090909090908,1.3333333333333333,1.3451776649746192,1.8928571428571428,9,140,2,11,197,0.9607315063476562,2.412891387939453,0.8181818181818182,0.7106598984771574
DSB Iba1 28_40X_DG,2.823529411764706,2.823529411764706,2.452247191011236,2.686153846153846,17,325,0,17,356,4.607105255126953,7.0148468017578125,1.0,0.9129213483146067
DSB Iba1 29_40X_CA1,1.4,1.5555555555555556,0.7718120805369127,1.2921348314606742,9,89,1,10,149,0.8039474487304688,2.208709716796875,0.9,0.5973154362416108
DSB Iba1 29_40X_CA3,1.0,1.25,0.6386554621848739,1.4901960784313726,4,51,1,5,119,0.6873130798339844,1.9129753112792969,0.8,0.42857142857142855
DSB Iba1 29_40X_CTX1,1.125,1.6363636363636365,0.7939698492462312,1.462962962962963,11,108,5,16,199,0.9842872619628906,5.022335052490234,0.6875,0.542713567839196
DSB Iba1 29_40X_CTX2,1.1923076923076923,1.631578947368421,1.1776649746192893,1.6934306569343065,19,137,7,26,197,1.3653755187988281,7.678985595703125,0.7307692307692307,0.6954314720812182
DSB Iba1 29_40X_CTX3,0.9375,1.1538461538461537,0.5952380952380952,1.3157894736842106,13,76,3,16,168,0.4662513732910156,3.7689208984375,0.8125,0.4523809523809524
DSB Iba1 29_40X_DG,1.0,1.5,1.025974025974026,1.4363636363636363,4,275,2,6,385,2.083301544189453,2.2146224975585938,0.6666666666666666,0.7142857142857143
DSB Iba1 30_40X_CA1,0.0,,0.528169014084507,1.3392857142857142,0,56,6,6,142,0.42133331298828125,1.6625404357910156,0.0,0.39436619718309857
DSB Iba1 30_40X_CA3,1.0,1.3333333333333333,0.8543689320388349,1.5714285714285714,3,56,1,4,103,0.7200241088867188,1.3019561767578125,0.75,0.5436893203883495
DSB Iba1 30_40X_CTX1,0.7692307692307693,1.5384615384615385,0.4444444444444444,1.1818181818181819,13,88,13,26,234,0.49762725830078125,2.7807235717773438,0.5,0.37606837606837606
DSB Iba1 30_40X_CTX2,0.5,1.5714285714285714,0.5152671755725191,1.3235294117647058,7,102,15,22,262,0.5642890930175781,2.3637771606445312,0.3181818181818182,0.3893129770992366
DSB Iba1 30_40X_CTX3,0.6153846153846154,1.3333333333333333,0.36683417085427134,1.3518518518518519,6,54,7,13,199,0.2711296081542969,1.4829635620117188,0.46153846153846156,0.271356783919598
DSB Iba1 30_40X_DG,0.8,2.0,1.1607629427792916,1.7387755102040816,2,245,3,5,366,1.5737533569335938,2.1762847900390625,0.4,0.6693989071038251
DSB Iba1 31_40X_CA1,1.3636363636363635,1.875,1.0059880239520957,1.5555555555555556,8,108,3,11,167,0.9081840515136719,3.8471221923828125,0.7272727272727273,0.6467065868263473
DSB Iba1 31_40X_CA3,2.0,2.0,0.9672131147540983,1.4873949579831933,1,119,0,1,183,1.42059326171875,1.2179374694824219,1.0,0.6502732240437158
