index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
64,DSB Iba1 18_40X_DG,1.1826923076923077,1.1826923076923077,1.8034188034188037,1.8034188034188037,104,351,0,104,351,83.64906311035156,53.77206802368164,1.0,1.0,DG,18,231,male,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
65,DSB Iba1 19_40X_CA1,1.0,1.0,1.0,1.0,66,68,0,66,68,99.50284957885742,97.84984588623048,1.0,1.0,CA1,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
66,DSB Iba1 19_40X_CA3,1.0140845070422535,1.0140845070422535,1.0136986301369864,1.0136986301369864,71,73,0,71,73,99.35731887817384,98.4278678894043,1.0,1.0,CA3,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
67,DSB Iba1 19_40X_CTX1,1.004739336492891,1.004739336492891,1.0047169811320755,1.0047169811320755,211,212,0,211,212,99.45621490478516,98.5675811767578,1.0,1.0,CTX1,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
68,DSB Iba1 19_40X_CTX2,1.0138888888888888,1.0138888888888888,1.0444444444444445,1.0444444444444445,72,90,0,71,89,97.04084396362305,92.62237548828124,1.0140845070422535,1.0112359550561798,CTX2,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
69,DSB Iba1 19_40X_CTX3,1.0,1.0,1.0,1.0,103,124,0,103,124,98.70357513427734,87.97607421875,1.0,1.0,CTX3,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
70,DSB Iba1 19_40X_DG,1.0,1.0,1.0,1.0,127,128,0,127,128,99.53365325927734,97.98297882080078,1.0,1.0,DG,19,154,female,APP/PS1 x Neil3 KO,poor,failed,suboptimal,suboptimal,False
71,DSB Iba1 20_40X_CA1,1.0,1.5,0.6645161290322581,1.3037974683544304,4,79,2,6,155,0.7762908935546875,1.447296142578125,0.6666666666666666,0.5096774193548387,CA1,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
72,DSB Iba1 20_40X_CA3,1.6,2.0,1.3245614035087718,2.126760563380281,4,71,1,5,114,1.1053085327148438,1.717853546142578,0.8,0.6228070175438597,CA3,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
73,DSB Iba1 20_40X_CTX1,1.0,1.6666666666666667,0.5151515151515151,1.2289156626506024,3,83,2,5,198,0.4868507385253906,0.8257865905761719,0.6,0.4191919191919191,CTX1,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
74,DSB Iba1 20_40X_CTX2,1.5,1.8333333333333333,1.069182389937107,1.6037735849056605,18,106,4,22,159,0.9496688842773438,2.0682334899902344,0.8181818181818182,0.6666666666666666,CTX2,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
75,DSB Iba1 20_40X_CTX3,0.6666666666666666,2.0,0.532608695652174,1.3611111111111112,1,36,2,3,92,0.5314826965332031,0.5598068237304688,0.3333333333333333,0.391304347826087,CTX3,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
76,DSB Iba1 20_40X_DG,1.0,1.4,1.435483870967742,1.7682119205298013,5,302,2,7,372,2.3174285888671875,2.923774719238281,0.7142857142857143,0.8118279569892473,DG,20,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
77,DSB Iba1 21_40X_CA1,1.0,1.5714285714285714,0.851063829787234,1.3333333333333333,7,90,4,11,141,0.7778167724609375,2.5424957275390625,0.6363636363636364,0.6382978723404256,CA1,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
78,DSB Iba1 21_40X_CA3,0.5,1.0,1.0,1.7833333333333334,2,60,2,4,107,0.7436752319335938,1.3544082641601562,0.5,0.5607476635514018,CA3,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
79,DSB Iba1 21_40X_CTX1,1.588235294117647,2.076923076923077,0.695,1.376237623762376,13,101,4,17,200,0.9168624877929688,3.311634063720703,0.7647058823529411,0.505,CTX1,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
80,DSB Iba1 21_40X_CTX2,1.2666666666666666,1.4615384615384617,0.7688888888888888,1.3410852713178294,13,129,2,15,225,1.0347366333007812,3.338623046875,0.8666666666666667,0.5733333333333334,CTX2,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
81,DSB Iba1 21_40X_CTX3,1.4782608695652173,2.0,1.0824742268041236,2.019230769230769,17,104,6,23,194,1.0148048400878906,4.697036743164063,0.7391304347826086,0.5360824742268041,CTX3,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
82,DSB Iba1 21_40X_DG,0.9333333333333332,1.4,1.1310679611650485,1.4793650793650794,10,315,5,15,409,2.2064208984375,3.5135269165039062,0.6666666666666666,0.7701711491442543,DG,21,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
83,DSB Iba1 22_40X_CA1,1.0,1.9,1.206896551724138,1.9626168224299063,10,107,9,19,174,1.2415885925292969,6.178569793701172,0.5263157894736842,0.6149425287356322,CA1,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
84,DSB Iba1 22_40X_CA3,2.1666666666666665,2.1666666666666665,1.2302158273381294,2.25,6,76,0,6,139,1.2543678283691406,3.7606239318847656,1.0,0.5467625899280576,CA3,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
85,DSB Iba1 22_40X_CTX1,1.5,2.5,1.2880658436213992,2.045751633986928,6,153,4,10,243,1.403045654296875,3.637123107910156,0.6,0.6296296296296297,CTX1,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
86,DSB Iba1 22_40X_CTX2,1.0588235294117647,2.0,1.0454545454545454,2.0145985401459856,9,137,8,17,264,1.3582229614257812,4.0191650390625,0.5294117647058824,0.5189393939393939,CTX2,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
87,DSB Iba1 22_40X_CTX3,1.25,2.0,0.3928571428571428,1.32,5,50,3,8,168,0.2514839172363281,0.730133056640625,0.625,0.2976190476190476,CTX3,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
88,DSB Iba1 22_40X_DG,1.7647058823529411,2.0,1.633838383838384,1.9313432835820896,15,335,2,17,395,3.1919479370117188,5.748558044433594,0.8823529411764706,0.8481012658227848,DG,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
89,DSB Iba1 23_40X_CA1,1.0,2.6666666666666665,0.6617647058823529,1.3043478260869563,3,69,5,8,136,0.5928993225097656,4.248046875,0.375,0.5073529411764706,CA1,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
90,DSB Iba1 23_40X_CA3,0.875,1.75,0.6491228070175439,1.5416666666666667,4,48,4,8,114,0.531768798828125,2.08120346069336,0.5,0.4210526315789473,CA3,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
91,DSB Iba1 23_40X_CTX1,0.56,1.2727272727272727,0.387434554973822,1.15625,11,64,14,25,191,0.4361152648925781,5.792427062988281,0.44,0.3350785340314136,CTX1,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
92,DSB Iba1 23_40X_CTX2,0.0,,0.075,1.125,0,16,5,5,240,0.0720024108886718,0.7174491882324219,0.0,0.0666666666666666,CTX2,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
93,DSB Iba1 23_40X_CTX3,0.9090909090909092,1.25,0.7905405405405406,1.4444444444444444,8,81,3,11,148,0.6974220275878906,2.988147735595703,0.7272727272727273,0.5472972972972973,CTX3,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
94,DSB Iba1 23_40X_DG,1.0,1.4545454545454546,1.122969837587007,1.4622356495468278,11,331,5,16,429,1.8776893615722656,7.934856414794922,0.6875,0.7715617715617715,DG,23,2042,male,APP/PS1,good,passed,optimal,optimal,True
95,DSB Iba1 24_40X_CA1,0.0,,0.5642458100558659,1.6031746031746033,0,63,6,6,179,0.4246711730957031,0.7791519165039062,0.0,0.3519553072625698,CA1,24,887,male,APP/PS1,good,passed,optimal,optimal,True
96,DSB Iba1 24_40X_CA3,0.25,1.0,0.6,1.4375,1,48,3,4,115,0.2900123596191406,0.9073257446289062,0.25,0.417391304347826,CA3,24,887,male,APP/PS1,good,passed,optimal,optimal,True
